key,Actividad Econ&oacutemica,E-mail,Fax,Fecha de Constitución,Fecha de listado en BMV,Historia de la Empresa,Oficinas Corporativas,Principales Productos y/o Servicios,Ramo,Relación con Inversionistas,Sector,Subramo,Subsector,Teléfono
POSADAS,"LAS COMPAÑIAS SE DEDICAN A LA CONSTRUCCION, ADQUISICION, ARRENDAMIENTO Y OPERACION DE HOTELES.",gerardo.deprevoisin@posadas.com,53266723,18-Apr-1967,24-Mar-1992,"Grupo Posadas, S.A.B. de C.V., se constituyó el 18 de abril de 1967, con la denominación original Promotora Mexicana de Hoteles, S. A., en la Ciudad de México. La Compañía tiene sus orígenes en 1967, cuando el Sr. Gastón Azcárraga Tamayo fundó Promotora Mexicana de Hoteles, S. A., con el objetivo de participar en el sector turístico a través de la construcción y operación de un hotel en la Ciudad de México, el Fiesta Palace, ahora conocido como Fiesta Americana Reforma. En 1969, Promotora Mexicana de Hoteles se asoció con American Hotels, una subsidiaria de American Airlines, para formar Operadora Mexicana de Hoteles, S. A. de C. V., una compañía mexicana que se creó para administrar propiedades hoteleras. El primer hotel Fiesta Americana se abrió en 1979 en Puerto Vallarta, actualmente operado por la Compañía. La siguiente faceta de la Compañía se remonta a 1982, cuando Promotora Mexicana de Hoteles, S.A. y el señor Gastón Azcárraga Tamayo compran el 50% del capital social de Posadas de México S.A. de C.V. Inicialmente, Posadas de México fue establecida en 1969 por Pratt Hotel Corporation, una compañía estadounidense, para la operación de las franquicias Holiday Inn en México. En 1990 Promotora Mexicana de Hoteles, compró el 50% restante de las acciones representativas del capital social de Posadas de México S.A. de C.V., y dicha compra permitió el surgimiento de la más grande compañía hotelera en México, con la operación de 13 hoteles, en ese entonces. En 1992 Grupo Posadas, S.A.B. de C.V, fue listado en la Bolsa Mexicana de Valores. En 1993 se lanza la marca Fiesta Inn para satisfacer el mercado de viajeros de negocios, mientras que en 1999 se incursiona en el segmento de aventura y Club Vacacional con las marcas: ""The Explorean"" y ""Fiesta Americana Vacation Club"", respectivamente. En 2005 se lanza la marca ""One"", primera cadena de categoría ""economy class"" en México. Como parte de su estrategia de renovación de productos, durante 2014, Posadas desarrolló y lanzó el nuevo concepto de ""Fiesta Americana"" y ""Grand Fiesta Americana"" una renovación integral que incluye desde la imagen y el logotipo hasta áreas públicas y habitaciones; las extensiones de marca ""Fiesta Inn Express"" y ""Fiesta Inn Loft"" en respuesta a las necesidades del viajero, así como el nuevo modelo de negocio de franquicia bajo la marca Gamma, en 2014 inició operaciones el primer hotel con la marca Gamma de Fiesta Inn. En abril de 2016 se lanzó Live Aqua Residence Club (LARC), una nueva marca de lujo dentro del negocio de Propiedades Vacacionales que pretende ofrecer un selecto portafolio de propiedades residenciales y hoteleras en exclusivos destinos. Al tercer trimestre de 2019, Posadas es la operadora de hoteles líder en México con 178 hoteles y 28,901 cuartos propios, arrendados, franquiciados y administrados en los destinos de ciudad y playa más importantes y visitados en México. El 80% de los cuartos se encuentran en destinos de ciudad y el 20% en destinos de playa. Posadas opera con las marcas: Live Aqua, Live Aqua Boutique Resort, Grand Fiesta Americana, Fiesta Americana, The Explorean, Fiesta Americana Vacation Villas, Live Aqua Residence Club, Fiesta Inn, Fiesta Inn LOFT, Gamma y One Hoteles.","PROLONGACIÓN PASEO DE LA REFORMA 1015 PISO 9 SANTA FE ,05348, MEXICO CDMX",SERVICIOS AL PUBLICO.,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",LIC. GERARDO DE PREVOISIN (DIRECTOR DE FINANCIAMIENTO Y RELACION CON INVERSIONISTAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,HOTELES Y CENTROS DE VACACIONES,SERVICIOS AL CONSUMIDOR,53266700
PROCORP,"OPERAR CON VALORES Y DOCUMENTOS DE EMPRESAS QUE REQUUIEREN DE RECURSOS A LARGO PLAZO, EN LOS TERMINOS DE LA LEY DE SOCIEDADES DE INVERSION",rterrazas@proequity.com.mx,91728510,01-Jul-1986,20-Feb-1989,"Procorp, S.A.B. de C.V., (PROCORP) Procorp, adopto la modalidad de SAB en 2015 y se constituyo como una SINCA en 1986, inicio operaciones a finales de 1987. Su actividad principal es participar en el capital de empresas medianas (antes ""Promovidas"" ahora ""Participadas""), que requieran recursos de largo plazo. La acción de Procorp está registrada en la Bolsa de Valores y cotiza en este mercado desde noviembre de 1994. LA sociedad tiene como objetivo participar en el capital de empresas pequeñas o medianas denominándose empresas participadas, con la finalidad de apoyarles en sus proyectos de crecimiento, y que al inversionista le brinden una atractiva rentabilidad en el largo plazo, derivado del éxito de esas empresas. A. Actividad Principal Procorp tiene como actividad principal invertir en el capital de empresas pequeñas o medianas buscando una atractiva rentabilidad en el largo plazo. Los ingresos de la sociedad en los últimos años están dados por la aplicación del método de participación, dado que es a partir de 1999 que se aplica este método por disposición expresa de las Disposiciones de Carácter General Aplicables a las Sociedades de Inversión de Capitales de la CNBV, mientras que por los ejercicios anteriores estos correspondían a la valuación sobre el probable valor de venta de la participación accionaria en cada una de las empresas promovidas. Procorp requiere que las empresas promovidas cumplan con una serie de características que garanticen el éxito de la inversión. El perfil de estas empresas debe cumplir por lo menos con las características que se mencionan a continuación: ? Socio:  Se pretende asociar con empresarios que cuenten con gran experiencia en su campo y gocen de buen prestigio y que la empresa les represente un primordial compromiso patrimonial.  ? Dirección:  Que esté orientada hacia el eficiente manejo de sus recursos humanos, materiales y financieros, con experiencia comprobada y que esté dispuesta a su institucionalización.  ? Competitividad Internacional:  Los productos o servicios que ofrezca la empresa a su mercado, deberán tener precio, calidad y servicio a nivel internacional.  ? Participación en el Mercado:  La empresa deberá tener o lograr una importante presencia en su mercado.  ? Tecnología:  En la manufactura de sus productos o prestación de servicios deberá contar con tecnología que le proporcione la competitividad buscada.  ? Comercialización:  Que presente una estrategia de diversificación de clientes y proveedores que permitan su estabilidad operacional.  ? Ventas:  Por la orientación de Procorp para invertir en la empresa mediana, implícita en el perfil, el volumen de ventas mínimo deseado es del orden de USD $5 millones anuales.  ? Administración:  Que sus políticas y experiencia histórica presenten un equilibrio en sus relaciones laborales, y su situación fiscal sea transparente.  ? Sector Económico:  Procorp, ha adoptado la vocación de dirigir su inversión a proyectos de carácter educativo, por lo que apoyará el desarrollo de empresas en cualquiera de los niveles de este sector.","Blvd. Adolfo Lopez Mateos No. 2009 Of. 303 Los Alpes ,01010, Mexico CDMX",COMPRA-VENTA DE VALORES DE EMPRESAS QUE REQUIEREN DE RECURSOS A LARGO PLAZO,INTERMEDIARIOS FINANCIEROS NO BANCARIOS,C.P. Rafael Terrazas (Director de Administracion y Finanzas),SERVICIOS FINANCIEROS,SOCIEDADES DE CAPITALES,ENTIDADES FINANCIERAS,91728505
PV,SOCIEDAD CONTROLADORA DE REASEGURADORA PATRIA Y GENERAL DE SEGUROS,smunoz@sapv.com.mx,(52-55) 5595-0768,16-Apr-1971,21-Sep-2012,"Peña Verde es una sociedad mexicana con duración indefinida, constituida mediante escritura pública número 43,827 de fecha 16 de abril de 1971; otorgada ante la fe del licenciado Jorge H. Falomir, Notario Público número 13 del Distrito Federal, cuyo primer testimonio quedó debidamente inscrito en el Registro Público del D.F., sección Comercio, Libro III, Volumen 794 a fojas 472 y bajo el número 300. Actualmente, las oficinas principales de Peña verde están ubicadas en Sierra Mojada número 626, colonia Lomas de Barrilaco, Sección Vertientes, delegación Miguel Hidalgo, código postal 11010, México, Distrito Federal y número de teléfono 5284-3333. La sociedad se constituyó en 1971 bajo la denominación ""Mining Exploration Consultants, S.A."". En 1972, cambió su denominación a Minera Peña Verde, S.A. y posteriormente en 1978 adoptó su actual denominación de Peña Verde, S.A. En 2009 la Sociedad adoptó la modalidad de capital variable y se fusionan con ella Minera las Trincheras, S.A. de C.V. y Minera el Morado, S.A. de C.V. Finalmente en 2011 Peña Verde, en su carácter de fusionante, se fusionó con Rajas, S.A. de C.V., Chic Xulub, S.A. de C.V., Compañía Latinoamericana de Servicios, S.A. de C.V. y Comercializadora Peñasco, S.A. de C.V., en su carácter de fusionadas, subsistiendo en consecuencia Peña Verde. Por los últimos 20 años Peña Verde únicamente ha operado como tenedora de acciones. Asimismo es importante señalar que las compañías señaladas en el párrafo inmediato anterior con quien Peña Verde se fusionó durante 2009 y 2011 eran igualmente sociedades tenedoras de acciones que no llevaban a cabo operaciones de ningún tipo. Dichas sociedades eran igualmente controladas por los actuales accionistas de Peña Verde.","PERIFÉRICO SUR 2771 SAN JERÓNIMO LIDICE ,10200, CDMX CDMX",,MERCADOS FINANCIEROS,C.P. Saduj Emmanuel Muñoz (Subdirector Corporativo de Inversiones),SERVICIOS FINANCIEROS,CONTROLADORAS DE ENTIDADES DE SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,(52-55) 5683-4900
Q,"ORGANIZACIÓN, PROMOCION Y ADMINISTRACION DE TODA CLASE DE SOCIEDADES MERCANTILES Y CIVILES",wcastillo@qualitas.com.mx,,18-Jan-2008,17-Jul-2012,"Quálitas (Q) es la compañía con mayor participación de mercado en seguro automotriz en México y cuenta con presencia en El Salvador, Costa Rica y Estados Unidos. Su modelo de negocios, especializado exclusivamente en seguro de auto, le ha permitido ofrecer un servicio de primera calidad bajo la red de cobertura más grande del país. Quálitas cotiza en la Bolsa Mexicana de Valores bajo el símbolo ""Q"" (Bloomberg: Q*:MM).","Av. San Jerónimo No. 478 Jardines del Pedregal ,01900, Cd. de México CDMX",,MERCADOS FINANCIEROS,CP Wilfrido Javier Castillo (Director Relación con Inversionistas y Proyectos Especiales ),SERVICIOS FINANCIEROS,CONTROLADORAS DE ENTIDADES DE SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,55 1555 6102
QBINDUS,"ELABORACION Y VENTA DE DIVERSOS PRODUCTOS QUIMICOS, PRINCIPALMENTE DE RESINAS NATURALES Y SINTETICAS.",,52512190,22-Oct-1957,27-Apr-1979,"QB INDUSTRIAS, S.A. DE C.V. Y SUS COMPAÑÍAS AFILIADAS ESTÁN DEDICADAS A LA MANUFACTURA DE PRODUCTOS QUÍMICOS INTERMEDIOS Y ESPECIALIZADOS, ASÍ COMO DE PRODUCTOS PARA EMPAQUES. LA EMPRESA SE FUNDÓ EN 1954, COMO CASCO QUÍMICA DE MÉXICO Y EN 1956, SE FUSIONÓ CON INDUSTRIAS QUÍMICAS FORMES. EN 1979, SE NACIONALIZÓ A TRAVÉS DEL MERCADO MEXICANO DE VALORES, CAMBIANDO SU NOMBRE POR EL DE QUÍMICA BORDEN, S.A. DE C.V.. FUE EN 1981, CUANDO EL GRUPO XABRE, S.A. DE C.V. ADQUIRIÓ EL CONTROL Y EN 1987, LO HICIERON LOS ACCIONISTAS ACTUALES. EN 1992, AL OBTENER EL 40% DE BORDEN INC., SE LE MODIFICÓ LA DENOMINACIÓN POR LA DE QB INDUSTRIAS, S.A. DE C.V., CON LA QUE OPERA A LA FECHA. SU LÍNEA DE PRODUCTOS INCLUYE ADHESIVOS, ARENAS RECUBIERTAS, FORMALDEHÍDO; PELÍCULAS ENCOGIBLES, TALES COMO PVC, POLIETILENO LINEAL DE BAJA DENSIDAD (LLDPE); RESINAS SINTÉTICAS, COMO UREA-FORMALDEHÍDO, FENÓLICAS, FURÁNICAS, ETC. PRODUCE RESINAS PARA FABRICACIÓN DE ABRASIVOS, AGLOMERADO DE MADERA, BALATAS, FUNDICIÓN, LADRILLOS REFRACTARIOS, MUEBLES, PAPEL, PINTURAS. TAMBIÉN, EMPAQUES FLEXIBLES PARA ALIMENTOS Y PELÍCULA PARA EMPAQUES. ES LÍDER EN EL MERCADO DOMÉSTICO. UNA DE LAS PLANTAS DE QB YA OBTUVO LA CERTIFICACIÓN ISO-9002, MIENTRAS QUE LA SEGUNDA SE ENCUENTRA EN PROCESO DE CERTIFICACIÓN.","BOSQUES DE CIRUELOS 304-9 BOSQUES DE LAS LOMAS ,11700, MEXICO CDMX","RESINAS DE UREA FORMALDEHIDO, FENOLICAS LIQUIDAS YSOLIDAS, DE ACETATO DE POLIVINILO, ALQUIDALICAS, ADHESIVOS A BASE DEACETATO DE POLIVINILO, CASEINAS Y PROTEINAS, ETC.",PRODUCTOS QUÍMICOS,,MATERIALES,DISTRIBUCIÓN DE PRODUCTOS QUÍMICOS ESPECIALIZADOS DE CONSUMO,MATERIALES,85036400
QUMMA,"EMPRESA DEDICADA A LA COMUNICACION ESCRITA, LAS ARTES GRAFICAS, EL ENTRETENIMIENTO, ARTICULOS PROMOCIONALES Y LA INDUSTRIA DEL RECONOCIMIENTO.",fhernandez@seisacv.com.mx,50907796,21-Sep-1984,30-Jun-1994,"A PARTIR DEL 1RO. DE ENERO DE 1999 EL GRUPO COMENZO A TRABAJAR BAJO UNA ESTRUCTURA HORIZONTAL ESCINDIENDO DE SU PRINCIPAL SUBSIDIARIA (FERNANDEZ EDITORES) LAS ACTIVIDADES INDUSTRIALES Y LAS NO RELACIONADAS CON LA VENTA Y PRODUCCION EN FORMA DIRECTA. EL GRUPO AHORA, SE CONFORMA POR SIETE EMPRESAS.","AV. INSURGENTES SUR No. 2453 TIZAPAN ,01090, MEXICO CDMX","TEXTOS ESCOLARES, MATERIAL DIDACTICO, LIBROS RECREATIVOS, ARTES GRAFICAS, REVISTAS, CATALOGOS, FOLLETOS.",MEDIOS DE COMUNICACIÓN,LIC. FRANCISCO HERNANDEZ (GERENTE DE PLANEACION FINANCIERA),SERVICIOS DE TELECOMUNICACIONES,PUBLICACIÓN,MEDIOS DE COMUNICACIÓN,50907700
R,TENEDORA DE ACCIONES,investor.relations@banregio.com,8378 6814,21-Jul-2016,23-Apr-2018,"CORPORACIÓN GFREGIO, S,A.B. DE C.V., SE CONSTITUYÓ MEDIANTE ESCRITURA PÚBLICA DE FECHA 21 DE JULIO DE 2016; MIENTRAS QUE BANREGIO GRUPO FINANCIERO FUE CONSTITUIDO MEDIANTE ESCRITURA PÚBLICA DE FECHA 6 DE DICIEMBRE DE 2004, EN AMBOS CASOS, CON DOMICILIO EN EL MUNICIPIO DE SAN PEDRO GARZA GARCÍA, NUEVO LEÓN. EL XX DE XX DE 2016, AMBAS ENTIDADES SE FUSIONARON, SUBSISTIENDO LA CORPORACIÓN COMO ENTIDAD FUSIONANTE. COMO RESULTADO DE ESTA FUSIÓN, LA PRINCIPAL SUBSIDIARIA DE LA CORPORACIÓN, EN FORMA INDIRECTA, ES BANCO REGIONAL DE MONTERREY, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, BANREGIO GRUPO FINANCIERO.","AV. PEDRO RAMIREZ VAZQUEZ #200-12 VALLE ORIENTE ,66269, SAN PEDRO GARZA GARCIA NL",TENEDORA DE ACCIONES,SERVICIOS FINANCIEROS DIVERSIFICADOS,LIC. ALEJANDRO LOBEIRA (RELACION CON INVERSIONISTAS),SERVICIOS FINANCIEROS,CONTROLADORAS,ENTIDADES FINANCIERAS,8183995000
RCENTRO,"SUS PRINCIPALES ACTIVIDADES SON LA PRODUCCION Y TRANSMISION DE PROGRAMAS MUSICALES Y DE ENTRETENIMIENTO, PROGRAMAS DE INFORMACION Y ANALISIS, DE NOTICIAS Y DE EVENTOS ESPECIALES.",oespinosa@radiocentro.com,,08-Jun-1971,18-Dec-1992,"Los orígenes del Grupo Radio Centro en la radiodifusión se remontan a hace más de 45 años, su fundador Don Francisco Aguirre J. inició actividades en 1946. En 1952 Don Francisco Aguirre funda Organización Radio Centro como único propietario de dos estaciones de radio: Radio Centro y Radio Éxitos. En 1965 funda Organización Impulsora de Radio como representante de ventas a nivel nacional de estaciones afiliadas en el interior del país. En 1973 establece tres estaciones de FM, lo cual consolida su posición de líder de la industria radiofónica en México. En 1979 Doña Ma. Esther Gómez de Aguirre asume la Presidencia del Consejo de Administración. En 1983, Grupo Radio Centro inicia sus transmisiones al extranjero. En 1986, es creada Cadena Radio Centro (CRC) para proveer programación y representación de ventas a las estaciones de radio afiliadas dando servicio a la población de habla hispana en los Estados Unidos. En 1993, se efectúa una oferta pública inicial de acciones del Grupo en México (BMV), simultáneamente en Nueva York (NYSE). GRC fue la primera empresa latinoamericana de medios de comunicación en colocar acciones en la bolsa de Nueva York y la sexta empresa mexicana. El símbolo de Grupo Radio Centro en la Bolsa Mexicana de Valores RCENTRO-A. Las oficinas generales del Grupo se ubican en el nuevo edificio de su propiedad en Constituyentes, el llamado Trébol Radio Centro. Se incluye dentro de las instalaciones lo más avanzado en red de telefonía y computación, así como un sofisticado equipamiento radiofónico digital, haciendo de este edificio un Edificio Inteligente. En 1994, se vende CRC y se realiza una inversión en Heftel Broadcasting. En 1995, GRC adquiere el 33% de Radiodifusión Red y vende su inversión en Heftel. En enero de 1996, consolida al 100% Radiodifusión Red. En julio de 1996, efectúa su Segunda Oferta Pública en la BMV y el NYSE. En 2009 celebra un contrato de Comercialización y Programación con EMMIS Communications Corporation para operar una estación de radio en Los Ángeles, California, en la frecuencia 93.9 de FM KXOS-FM. En 2012 a través de una entidad nueva creada para esta transacción, adquiere el 25% de los activos de la estación de radio KXOS-FM, ÉXITOS 93.9, la cual sigue operando y comercializando. Con esta adquisición se da por terminado el contrato de comercialización y programación que tenía con EMMIS. 2013 Desliste de la Bolsa de Valores de Nueva York. El 14 de enero presentó la Forma 15 a fin de cancelar el registro de todas las clases de sus valores registrados ante la SEC. El 30 de junio de 2015, amplia su presencia adquiriendo por medio de fusión, 20 estaciones de radio que cubren 10 de los principales mercados en el interior del País incluyendo las ciudades de Monterrey y Guadalajara.","AV. CONSTITUYENTES 1154, PISO 2 LOMAS ALTAS ,11950, MEXICO CDMX","LA COMPAÑIA OPERA A LAS EMISORAS DE ORGANIZACION RADIO CENTRO, DE GRUPO RED Y UNA CADENA DE RADIO, ORGANIZACION IMPULSORA DE RADIO.",MEDIOS DE COMUNICACIÓN,C.P. OLIVIA ESPINOSA (COORDINADOR DE RELACIÓN CON INVERSIONISTAS),SERVICIOS DE TELECOMUNICACIONES,SERVICIOS DE RADIO Y TELEVISIÓN,MEDIOS DE COMUNICACIÓN,55 57284800
RLH,ADQUISICIÓN Y DESARROLLO DE ACTIVOS HOTELEROS DE CIUDAD Y PLAYA UBICADOS EN LOS PRINCIPALES CENTROS URBANOS,DLARESGOITI@BKPARTNERS.COM,,28-Feb-2013,05-Nov-2015,"LA EMISORA ES UNA SUBSIDIARIA DIRECTA DE ACTUR. ACTUR ES UNA PLATAFORMA DE INVERSIÓN ENFOCADA AL SECTOR TURÍSTICO MEXICANO QUE SE DEDICA AL DESARROLLO Y A LA ADQUISICIÓN DE ACTIVOS INMOBILIARIOS. ACTUR HA REALIZADO INVERSIONES EN ACTIVOS TURÍSTICOS DISTINTOS AL FOUR SEASONS DE LA CIUDAD DE MÉXICO (EN ADELANTE EL "" HOTEL"") A TRAVÉS DE OTROS VEHÍCULOS QUE SON INDEPENDIENTES DE LA EMISORA, SIN EMBARGO AL A FECHA DEL PRESENTE PROSPECTO, LA ÚNICA INVERSIÓN REALIZADA POR ACTUR A TRAVÉS DE LA EMISORA HA SIDO LA ADQUISICIÓN DEL HOTEL, MISMA QUE SE COMPLETÓ EL 15 DE MAYO DE 2013. EL HOTEL FUE ADQUIRIDO POR LA EMISORA JUNTO CON VERTEX MEDIANTE LA ADQUISICIÓN DE LA TOTALIDAD DE LAS ACCIONES REPRESENTATIVAS DEL CAPITAL SOCIAL DE INALMEX Y DE SHH. INALMEX ES UNA SOCIEDAD QUE FUE CONSTITUIDA EL 31 DE MARZO DE 1950 BAJO LAS LEYES DE MÉXICO. INALMEX ES PROPIETARIA DE LOS DERECHOS FIDEICOMISARIOS DERIVADOS DEL FIDEICOMISO RELACIONADOS CON EL HOTEL","AV. PASEO DE LA REFORMA NO. 412, PISO 21 JUÁREZ ,06600, CIUDAD DE MÉXICO CDMX",HOTELERÍA,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",LICENCIADO DIEGO LARESGOITI (SUBDIRECTOR DE FINANZAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,HOTELES Y CENTROS DE VACACIONES,SERVICIOS AL CONSUMIDOR,6393-3000
SARE,"PARTICIPAR EN EL CAPITAL SOCIAL DE SUS SUBSIDIARIAS, EMPRESAS DEDICADAS A LA PROMOCIÓN DE VIVIENDA PARA LOS SEGMENTOS DE INTERÉS SOCIAL, MEDIO Y RESIDENCIAL, Y LA PRESTACIÓN DE SERVICIOS INMOBILIARIOS",miguel.salazar@sare.com.mx,,29-Jul-1997,10-Oct-2003,"A lo largo de 41 años de experiencia en el mercado de la vivienda, SARE ha consolidado una posición de liderazgo mediante una oferta diversificada de productos de calidad que satisfacen los gustos y necesidades de las nuevas familias mexicanas. Nuestros productos abarcan todos los segmentos del mercado: vivienda económica, interés social, media, residencial y Turistica. SARE ha definido un modelo de negocios que se distingue por su alto grado de diversificación en cuanto a regiones, segmentos y opciones de financiamiento hipotecario para sus clientes. Esta estrategia propicia una gran flexibilidad de operación y permite a la empresa adecuarse a las circunstancias siempre cambiantes del mercado de la vivienda. SARE cotiza en la Bolsa Mexicana de Valores desde octubre del 2003.","Bosque de Radiatas No. 18 despacho 402 Bosques de las Lomas ,05120, Mexico CDMX",,CONSTRUCCIÓN DE VIVIENDAS,CP MIGUEL ANGEL SALAZAR (RELACION INVERSIONISTAS),INDUSTRIAL,CONSTRUCCIÓN DE VIVIENDAS,CONSTRUCCIÓN,52.06.67.15
SAVIA,"Investigación, producción y comercialización de semillas y productos frescos.",,,30-Jul-1936,30-Jun-1962,"Savia, es un grupo empresarial de origen mexicano de alcance global enfocado En el sector agrícola. A lo largo de su trayectoria iniciada en 1985, el grupo se ha distinguido por su carácter y creación de valor. Sus ventas son cercanas a los 200 millones de dólares y sus acciones se cotizan en la Bolsa Mexicana de Valores (SAVIA). Dentro de las subsidiarias importantes de Savia se encuentran Bionova y Nuderesa. Bionova es una empresa dedicada a la comercialización de frutas frescas y hortalizas en la región del TLC y Nuderesa son desarrollos inmobiliarios en zonas habitacionales medio y social del norte del país.",,Semillas y frutas y hortalizas,ALIMENTOS,,PRODUCTOS DE CONSUMO FRECUENTE,PRODUCTOS AGRÍCOLAS,"ALIMENTOS, BEBIDAS Y TABACO",
SIMEC,"ES UNA EMPRESA MEXICANA DEDICADA A LA PRODUCCIÓN DE ACERO LA CUAL CUENTA CON PLANTAS EN MÉXICO, EUA Y CANADÁ",mmoreno@gruposimec.com.mx,3337706710,22-Aug-1990,01-Jul-1993,"LAS OPERACIONES DE SIMEC SE INICIARON EN 1969 CUANDO UN GRUPO DE FAMILIAS DE GUADALAJARA, JALISCO, MEXICO; FORMARON LA COMPAÑIA SIDERURGICA DE GUADALAJARA. EN 1990 SE CONSTITUYO SIMEC COMO LA SUBSIDIARIA DE SIDEK A CARGO DE LAS OPERACIONES INDUSTRIALES. EN JUNIO DE 1993 SE INICIARON LAS OPERACIONES DE COMPAÑIA SIDERURGICA DE CALIFORNIA EN MEXICALI, BAJA CALIFORNIA, MEXICO.","AV. LAZARO CARDENAS 601 LA NOGALERA ,44440, GUADALAJARA JAL","LAS PRINCIPALES LÍNEAS DE PRODUCTOS DE ICH SON: ACEROS ESPECIALES, PERFILES COMERCIALES, PERFILES ESTRUCTURALES Y VARILLA",FABRICACIÓN Y COMERCIALIZACIÓN DE MATERIALES,C.P. MARIO MORENO (COORDINADOR DE FINANZAS),MATERIALES,PRODUCCIÓN Y FABRICACIÓN DE PRODUCTOS DE ACERO,MATERIALES,3337706734
SITES,ARRENDAMIENTO DE SITIOS DE TELECOMUNICACIONES,relacionconinversionistas@telesites.com.mx,,19-Oct-2015,21-Dec-2015,NO APLICA,"PASEO DE LAS PALMAS NÚMERO 781, piso 7, oficinas 703-704 LOMAS DE CHAPULTEPEC ,11000, CIUDAD DE MÉXICO CDMX",NO APLICA,EQUIPO DE COMUNICACIONES,LICENCIADO HÉCTOR GONZÁLEZ (RESPONSABLE DE INFORMACION A INVERSIONISTA),TECNOLOGÍA DE LA INFORMACIÓN,EQUIPO DE COMUNICACIONES,EQUIPO TECNOLÓGICO Y HARDWARE,51250205
SORIANA,"POR MEDIO DE SUS SUBSIDIARIAS, LA COMERCIALIZACION DE ARTICULOS BASICOS EN LA ALIMENTACION, VESTIDO E INDISPENSABLES PARA EL HOGAR POR MEDIO DEL SISTEMA DE AUTOSERVICIO.",rodrigojbc@soriana.com,018183299000,18-Dec-1981,30-Sep-1987,"Los orígenes de Soriana se remontan al año de 1920 en la ciudad de Torreón Coahuila, donde la familia Martin Borque proveniente de Soria, España, estableció un negocio familiar llamado La Soriana dedicado a la venta de telas a través de un mostrador. Paulatinamente, el negocio fue ampliando su oferta a ropa, perfumería y artículos para el hogar entre otros. En noviembre de 1968, Soriana inaugura su primer gran centro comercial de autoservicio en la ciudad de Torreón, Coahuila, evento que marca el inicio formal de lo que hoy conocemos como Organización Soriana. Bajo una estrategia multi-formato, Organización Soriana opera al cierre del 2018, 815 tiendas de autoservicio y clubes de membresías, más sus tiendas de conveniencia bajo la marca ""Súper City"". La superficie total de ventas supera los 4.2 millones de metros cuadrados distribuidos a través de los diferentes formatos de tienda y una red logística compuesta por 14 centros de distribución ubicados estratégicamente en 8 estados del país. En tiendas, se procesan de manera anual más de 683 millones de transacciones, con una fuerza laboral compuesta por más de 97 mil colaboradores. Las oficinas centrales de apoyo a tiendas se encuentran ubicadas en la ciudad de Monterrey, N.L y en la Ciudad de México.","ALEJANDRO DE RODAS NO. 3102-A CUMBRES 8VO SECTOR ,64610, MONTERREY NL","ARTICULOS BASICOS EN ALIMENTACION, VESTIDO, ETC.",VENTA DE PRODUCTOS DE CONSUMO FRECUENTE,@ RODRIGO JESUS BENET (DIRECTOR DE ADMON Y FINANZAS),PRODUCTOS DE CONSUMO FRECUENTE,SUPERMERCADOS E HIPERMERCADOS,VENTA DE PRODUCTOS DE CONSUMO FRECUENTE,018183299000
SPORT,OPERACION DE CLUBES DEPORTIVOS A TRAVES DE LOCALES ESTABLECIDOS EN LAS PRINCIPALES ZONAS COMERCIALES Y HABITACIONALES DE LA CIUDAD DE MEXICO Y EN ALGUNAS CIUDADES IMPORTANTES DEL INTERIOR DE LA REPUBL,inversionistas@sportsworld.com.mx,54817778,02-Mar-2005,07-Oct-2010,"Sports World (SPORT.S) es la empresa operadora de clubes deportivos familiares líder en México. En 1996 se crea la marca e introduce el concepto de un club deportivo con servicios e instalaciones de primer nivel. En octubre de 2010 la empresa comenzó a cotizar en la Bolsa Mexicana de Valores. Con 49 clubes, de los cuales 35 se encuentran en el D.F. y Área Metropolitana, Sports World ofrece una amplia gama de actividades y programas deportivos especialmente diseñados para que todos los miembros de la familia disfruten de experiencias únicas que generan bienestar. Grupo Sports World ha sido reconocida como Empresa Socialmente Responsable, Empresa Saludablemente Responsable y una de las mejores empresas para trabajar en México, además de haber obtenido el reconocimiento Super Brands. Para mayor información, favor de visitar www.sportsworld.com.mx","Vasco de Quiroga No. 3880 Nivel 2 Santa Fe Cuajimalpa ,05348, Mexico CDMX",,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",LIC. ROBERTO NAVARRO (GERENTE DE RELACIÓN CON INVERSIONISTAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,CENTROS RECREATIVOS Y DE ESPARCIMIENTO,SERVICIOS AL CONSUMIDOR,54817777
